2017-12-01 10:44:43,model=Lenovo PB2-690Y_device=PB2PRO,32.16968089,34.81083325,37.0,1,,Alpha125,30:b5:c2:e0:55:9c,6,-82.0,
2017-12-01 10:44:46,model=Lenovo PB2-690Y_device=PB2PRO,32.16947978,34.81075792,37.0,3,,Bezeq Free T00C36,5a:0c:c8:0f:21:90,1,-92.0,,BezeqFree,62:ee:0c:39:f9:16,5,-94.0,,ELCHARAR_2.4,20:0c:c8:0f:21:93,1,-95.0,
2017-12-01 10:44:49,model=Lenovo PB2-690Y_device=PB2PRO,32.1692751,34.81066887,38.0,2,,BezeqNGN_001489_2.4GHz_1,c0:a0:bb:cb:59:5b,1,-73.0,,netbox,d0:d4:12:65:19:a2,1,-96.0,
2017-12-01 10:44:52,model=Lenovo PB2-690Y_device=PB2PRO,32.16907519,34.81060214,38.0,5,,forestisthebest,c8:d7:19:da:03:16,6,-78.0,,spielman,f4:f2:6d:34:56:54,1,-79.0,,KaymeraDev,00:f6:63:15:58:81,1,-86.0,,KaymeraGuest,00:f6:63:15:58:82,1,-86.0,,HP-Print-C1-Deskjet 4640 series,28:80:23:f6:e0:c1,11,-87.0,
2017-12-01 10:44:56,model=Lenovo PB2-690Y_device=PB2PRO,32.16883715,34.81052111,38.0,4,,Oberyn Martell,18:d6:c7:fb:1c:0e,8,-79.0,,INGENEO,cc:b2:55:e8:4c:e6,6,-87.0,,simon,e4:6f:13:73:0a:c2,8,-89.0,,HTC,06:c2:3e:e4:21:85,4,-92.0,
2017-12-01 10:44:59,model=Lenovo PB2-690Y_device=PB2PRO,32.16872739,34.81060785,38.0,7,,kaymeraQA,00:f6:63:15:58:80,1,-82.0,,simon,e4:6f:13:73:0a:c2,8,-84.0,,Candan,c0:ff:d4:7b:82:30,1,-87.0,,Vision Public,c0:4a:00:f7:00:c1,10,-89.0,,BARON WIFI 2.4,60:e3:27:bf:a1:a5,11,-91.0,,cactus,a0:4f:d4:42:ba:71,1,-95.0,,KaymeraGuest,cc:16:7e:97:1d:92,1,-95.0,
2017-12-01 10:45:01,model=Lenovo PB2-690Y_device=PB2PRO,32.16870873,34.81074499,37.0,1,,A-Home,00:25:86:b1:6f:f8,6,-81.0,
2017-12-01 10:45:11,model=Lenovo PB2-690Y_device=PB2PRO,32.16877222,34.81164041,36.0,5,,LRWN,ec:8c:a2:08:a4:5c,52,-69.0,,Candan,c0:ff:d4:7b:82:30,1,-88.0,,simon,e4:6f:13:73:0a:c2,8,-90.0,,INGENEO,cc:b2:55:e8:4c:e6,6,-91.0,,Oberyn Martell,18:d6:c7:fb:1c:0e,8,-95.0,
2017-12-01 10:45:16,model=Lenovo PB2-690Y_device=PB2PRO,32.16898017,34.81188912,37.0,1,,SE-WiFi-Employees,70:4c:a5:20:be:18,1,-94.0,
2017-12-01 10:45:23,model=Lenovo PB2-690Y_device=PB2PRO,32.16940316,34.81209444,40.0,3,,Einav_1,00:26:5a:10:b7:0a,6,-82.0,,RS_GUEST,e4:6f:13:71:f5:ce,9,-92.0,,nina,20:0c:c8:2b:2a:14,11,-92.0,
2017-12-01 10:45:26,model=Lenovo PB2-690Y_device=PB2PRO,32.16958729,34.81218021,40.0,2,,nina,20:0c:c8:2b:2a:14,11,-73.0,,Nehalem_ISR,08:ea:44:74:4b:d5,1,-92.0,
2017-12-01 10:45:29,model=Lenovo PB2-690Y_device=PB2PRO,32.16977119,34.81225463,40.0,2,,mazia,14:ae:db:b2:5f:05,1,-87.0,,arama,80:1f:02:36:04:d0,11,-90.0,
2017-12-01 10:45:32,model=Lenovo PB2-690Y_device=PB2PRO,32.16994827,34.81233913,41.0,10,,TUCHLER,00:26:5a:69:94:e3,6,-81.0,,landau,74:da:38:14:4b:88,11,-81.0,,  InnovationEndeavors,74:da:38:a9:1c:df,2,-83.0,,klaiman,a0:ab:1b:62:0d:fc,2,-86.0,,Astra,00:21:63:4d:73:31,6,-86.0,,Mehta_Up,f8:d1:11:b8:3b:7e,6,-87.0,,BezeqFree,5a:ab:1b:62:0d:fd,2,-87.0,,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,6,-89.0,,HOTBOX-8156,b4:ee:b4:a7:81:5c,1,-92.0,,Candan,c0:ff:d4:7b:82:30,1,-93.0,
2017-12-01 10:45:35,model=Lenovo PB2-690Y_device=PB2PRO,32.17012573,34.81242227,44.0,5,,ter123,70:4d:7b:0c:89:50,6,-82.0,,arama,80:1f:02:36:04:d0,11,-84.0,,HP-Print-8A-Deskjet 4640 series,8c:dc:d4:6a:a9:8a,11,-89.0,,HOTBOX-62EF,d8:fb:5e:17:62:f5,1,-93.0,,Florida_Israel1,48:ee:0c:3b:fa:1e,1,-94.0,
2017-12-01 10:45:38,model=Lenovo PB2-690Y_device=PB2PRO,32.17031089,34.81250563,44.0,3,,hot,00:1c:10:09:4f:bc,3,-84.0,,HOTBOX-62EF,d8:fb:5e:17:62:f5,1,-85.0,,geller,00:78:9e:fa:3b:62,11,-90.0,
2017-12-01 10:45:43,model=Lenovo PB2-690Y_device=PB2PRO,32.17062502,34.81264159,42.0,3,,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,6,-63.0,,hot,00:1c:10:09:4f:bc,3,-77.0,,Oded,14:cc:20:76:b8:2a,11,-89.0,
2017-12-01 10:45:47,model=Lenovo PB2-690Y_device=PB2PRO,32.17086052,34.8127604,41.0,4,,Oded,14:cc:20:76:b8:2a,11,-65.0,,Oded 2.4Ghz,00:12:2a:e1:6c:48,11,-82.0,,HOTBOX-2017,c0:ac:54:f5:7d:bd,11,-87.0,,TP-LINK_76C08E,14:cc:20:76:c0:8e,1,-93.0,
2017-12-01 10:45:50,model=Lenovo PB2-690Y_device=PB2PRO,32.17105914,34.81284875,39.0,4,,HOTBOX-2017,c0:ac:54:f5:7d:bd,11,-78.0,,HP-Print-AF-Officejet Pro 6830,28:80:23:40:5f:af,6,-81.0,,TP-LINK_76C08E,14:cc:20:76:c0:8e,1,-86.0,,sirocco_2.4o,c4:e9:84:83:1a:0a,11,-91.0,
2017-12-01 10:45:53,model=Lenovo PB2-690Y_device=PB2PRO,32.1712472,34.81289934,36.0,3,,Candan,c0:ff:d4:7b:82:30,1,-91.0,,  InnovationEndeavors,74:da:38:a9:1c:df,2,-92.0,,BezeqFree,06:ae:db:48:af:4d,9,-93.0,
2017-12-01 10:45:59,model=Lenovo PB2-690Y_device=PB2PRO,32.17164516,34.81296105,38.0,1,,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,6,-92.0,
2017-12-01 10:46:05,model=Lenovo PB2-690Y_device=PB2PRO,32.17201156,34.81299553,38.0,2,,Oded 5Ghz,00:12:2a:e1:6c:4c,48,-82.0,,Motti11,a4:2b:b0:d4:55:36,6,-96.0,
2017-12-01 10:46:08,model=Lenovo PB2-690Y_device=PB2PRO,32.17218423,34.81302496,39.0,3,,Oded,14:cc:20:76:b8:2a,11,-92.0,,HP-Print-AF-Officejet Pro 6830,28:80:23:40:5f:af,6,-94.0,,TP-LINK_76C08E,14:cc:20:76:c0:8e,1,-94.0,
2017-12-01 10:46:11,model=Lenovo PB2-690Y_device=PB2PRO,32.1723264,34.81305758,43.0,1,,Oded 2.4Ghz,00:12:2a:e1:6c:48,11,-84.0,
2017-12-01 10:46:14,model=Lenovo PB2-690Y_device=PB2PRO,32.17240104,34.81314461,44.0,2,,DIR-825-4f83,80:26:89:0d:4f:84,1,-74.0,,Miller,00:78:9e:fa:0e:5c,1,-78.0,
2017-12-01 10:46:20,model=Lenovo PB2-690Y_device=PB2PRO,32.17237484,34.81345105,41.0,1,,HOTBOX-1A14,00:07:26:4f:07:ae,6,-91.0,
2017-12-01 10:46:23,model=Lenovo PB2-690Y_device=PB2PRO,32.17232792,34.81365654,42.0,1,,dobry2016_5,6c:b0:ce:ac:32:9c,60,-89.0,
2017-12-01 10:46:29,model=Lenovo PB2-690Y_device=PB2PRO,32.17229561,34.81402472,40.0,3,,Orit,c4:a8:1d:12:7d:4c,6,-80.0,,DIRECT-CC-HP DeskJet 4670 series,70:5a:0f:b2:64:cd,6,-89.0,,Lahav,08:3e:5d:5c:72:5e,11,-94.0,
2017-12-01 10:46:32,model=Lenovo PB2-690Y_device=PB2PRO,32.17226318,34.81420816,40.0,3,,DIR-825-4f83,80:26:89:0d:4f:84,1,-85.0,,Mevohot_3,60:e3:27:e8:41:e8,11,-93.0,,Wifi,74:44:01:39:09:86,11,-93.0,
2017-12-01 10:46:38,model=Lenovo PB2-690Y_device=PB2PRO,32.1722525,34.81443463,40.0,1,,love,14:ae:db:58:73:75,1,-70.0,

